Subject,Number,Section,Type,Title,Credits,Instructor,Time Slot,Duration,Days,Start,End,Room,Building,Cross-List
MATH,2033,1,,MATH CONCEPTS I,,"Taylor, Teresa L.",MWF 10:00am,50,MWF,10:00:00,10:50:00,102,Corley,
MATH,2043,1,,MATH CONCEPTS II,,"Taylor, Teresa L.",MWF 9:00am,50,MWF,9:00:00,9:50:00,102,Corley,
MATH,2043,TC1,,MATH CONCEPTS II,,"Taylor, Teresa L.",,,,,,,,
MATH,2223,1,,QUANTITATIVE BUSINESS ANALYSIS,,"Growns, Landon C.",MWF 11:00am,50,MWF,11:00:00,11:50:00,103,Corley,
MATH,2223,2,,QUANTITATIVE BUSINESS ANALYSIS,,"Cox, Allie M.",TR 11:00am,80,TR,11:00:00,12:20:00,103,Corley,
MATH,2223,3,,QUANTITATIVE BUSINESS ANALYSIS,,"Growns, Landon C.",MWF 10:00am,50,MWF,10:00:00,10:50:00,103,Corley,
MATH,2223,TC1,,QUANTITATIVE BUSINESS ANALYSIS,,"Cox, Allie M.",,,,,,,,
MATH,2243,1,,CALCULUS-BUSINESS/ECON,,"Growns, Landon C.",MWF 1:00pm,50,MWF,13:00:00,13:50:00,104,Corley,
MATH,2243,2,,CALCULUS-BUSINESS/ECON,,"Overduin, Matthew D.",TR 9:30am,80,TR,9:30:00,10:50:00,220,Ross Pendergraft Library,
MATH,2703,1,,DISCRETE MATHEMATICS,,"Limperis, Thomas G.",MWF 11:00am,50,MWF,11:00:00,11:50:00,101,Corley,
MATH,2703,2,,DISCRETE MATHEMATICS,,"Limperis, Thomas G.",TR 11:00am,80,TR,11:00:00,12:20:00,206,Rothwell,
MATH,2703,TC1,,DISCRETE MATHEMATICS,,"Jordan, Susan M.",,,,,,,,
MATH,3033,1,,METH TEACH ELEM MATH,,"Taylor, Teresa L.",TR 11:00am,80,TR,11:00:00,12:20:00,102,Corley,
MATH,3123,1,,COLLEGE GEOMETRY,,"Overduin, Matthew D.",MWF 2:00pm,50,MWF,14:00:00,14:50:00,102,Corley,
MATH,3243,1,,DIFF EQUATIONS I,,"Xiao, Xinli",MWF 10:00am,50,MWF,10:00:00,10:50:00,206,Rothwell,
MATH,3243,2,,DIFF EQUATIONS I,,"Overduin, Matthew D.",MWF 9:00am,50,MWF,9:00:00,9:50:00,212,Rothwell,
MATH,4003,1,,LINEAR ALGEBRA I,,"Xiao, Xinli",MWF 9:00am,50,MWF,9:00:00,9:50:00,206,Rothwell,
MATH,4971,1,,MATHEMATICS SENIOR SEMINAR,,"Xiao, Xinli",T 11:00am,80,T,11:00:00,12:20:00,101,Corley,
MATH,4993,1,,SP: MATHEMATICAL MODELING,,"Limperis, Thomas G.",,,,,,,,
MATH,5173,TC1,,ADVANCED BIOSTATISTICS,,"Jordan, Scott M.",,,,,,,,3
STAT,2163,1,,INTRO/STATISTICAL METHODS,,"King, Jamie L.",MWF 10:00am,50,MWF,10:00:00,10:50:00,221,Rothwell,
STAT,2163,2,,INTRO/STATISTICAL METHODS,,"Bain, Leslie M.",MWF 9:00am,50,MWF,9:00:00,9:50:00,104,Corley,
STAT,2163,3,,INTRO/STATISTICAL METHODS,,"Bain, Leslie M.",TR 1:00pm,80,TR,13:00:00,14:20:00,104,Corley,
STAT,2163,TC1,,INTRO/STATISTICAL METHODS,,"Bain, Leslie M.",,,,,,,,
STAT,2163,TC2,,INTRO/STATISTICAL METHODS,,"Bain, Leslie M.",,,,,,,,
STAT,3113,1,,REGRESSION ANALYSIS,,"Xiao, Xinli",MWF 11:00am,50,MWF,11:00:00,11:50:00,213,Rothwell,
STAT,3153,1,,APPLIED STATISTICS,,"Jordan, Scott M.",MWF 9:00am,50,MWF,9:00:00,9:50:00,207,Rothwell,
STAT,3153,2,,APPLIED STATISTICS,,"Jordan, Scott M.",MWF 11:00am,50,MWF,11:00:00,11:50:00,102,Corley,
STAT,3183,1,,STATISTICAL PROCESS CONTROL,,"Jordan, Scott M.",MWF 1:00pm,50,MWF,13:00:00,13:50:00,213,Rothwell,
STAT,4173,TC1,,ADVANCED BIOSTATISTICS,,"Jordan, Scott M.",,,,,,,,3
MATH,1003,7,Lecture,COLLEGE MATHEMATICS,3,Staff,MWF 1:00pm,50,MWF,13:00:00,13:50:00,,,
STAT,2163,4,Lecture,INTRO/STATISTICAL METHODS,3,Staff,MWF 2:00pm,50,MWF,14:00:00,14:50:00,,,
