Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Growns, Landon C."
MATH 1914-003,room,Corley 268,Ross Pendergraft Library 220
MATH 2914-001,time,MWF 9:00am,MWF 11:00am
MATH 2914-003,instructor,"Yousuf, Marium","Jordan, Susan M."
MATH 2924-002,time,MWF 12:00pm,MWF 2:00pm
MATH 2924-003,time,MWF 10:00am,MWF 11:00am
MATH 2934-001,instructor,Staff,"Limperis, Thomas G."
MATH 2934-002,time,MWF 11:00am,MWF 9:00am
MATH 2934-002,time,R 11:00am,R 8:00am
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 268,Rothwell 312
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 268,Rothwell 312
MATH 0803-003,instructor,"Ballard, Kasey L.","King, Jamie L."
MATH 1003-003,instructor,"Ballard, Kasey L.","King, Jamie L."
MATH 0903-001,instructor,Staff 3,"Growns, Landon C."
MATH 0903-001,room,Corley 104,Corley 102
MATH 1113-001,instructor,Staff 3,"Growns, Landon C."
MATH 0903-002,time,MWF 8:00am,MWF 2:00pm
MATH 1113-002,time,TR 8:00am,TR 2:30pm
MATH 1110-003,instructor,"Growns, Landon C.","Winn, Janet L."
MATH 1110-003,time,MW 2:00pm,MW 12:00pm
MATH 1113-003,instructor,"Growns, Landon C.","Winn, Janet L."
MATH 0803-004,instructor,Staff 2,Staff
MATH 1003-004,instructor,Staff 2,Staff
MATH 1003-005,instructor,"Winn, Janet L.","Jordan, Susan M."
MATH 1003-005,room,Corley 104,Corley 101
MATH 1003-TC2,instructor,"King, Jamie L.","Ballard, Kasey L."
MATH 1113-006,time,TR 9:30am,TR 2:30pm
MATH 1113-006,room,Corley 104,Corley 102
MATH 2243-001,instructor,"Overduin, Matthew D.","Bain, Leslie M."
MATH 2243-002,instructor,"Overduin, Matthew D.","Cox, Allie M."
MATH 2703-001,instructor,"Jordan, Susan M.","Ballard, Kasey L."
MATH 2703-001,time,MWF 10:00am,MWF 8:00am
MATH 2703-001,room,Corley 101,Rothwell 306
MATH 2703-TC1,instructor,"Jordan, Susan M.","Overduin, Matthew D."
MATH 3033-001,time,TR 11:00am,TR 8:00am
MATH 3243-001,instructor,"Xiao, Xinli","Overduin, Matthew D."
MATH 3243-002,instructor,"Limperis, Thomas G.","Overduin, Matthew D."
STAT 2163-001,instructor,"King, Jamie L.","Bain, Leslie M."
STAT 2163-TC1,instructor,"Bain, Leslie M.","Yousuf, Marium"
STAT 2163-TC2,instructor,"Bain, Leslie M.","Yousuf, Marium"
