"Term_Code","Term_Desc","Level","CRN","Subject","Number","Section","Session","Course_Status","Title","Meeting_Days","Meeting_Times","Building","Room","Seats_Avail","Start_Date","End_Date","Instructor","course_id","Campus","Delivery_Method","LOCATION"
202620,"Spring Term 2026",Undergraduate,21096,MATH,1110,ET1,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Multiple High Schools (ET)",ET,"13 / 71 / 99999",1/12/2026,5/6/2026,"Ridenour, Anna M.","MATH 1110 ET1, CRN-21096",M,"Web Only: Incl Proctored Exams","High School"
202620,"Spring Term 2026",Undergraduate,21098,MATH,1110,ET2,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Multiple High Schools (ET)",ET,"-19 / 35 / 99999",1/12/2026,5/6/2026,"Singleton, Brit P.","MATH 1110 ET2, CRN-21098",M,"Web Only: Incl Proctored Exams","High School"
202620,"Spring Term 2026",Undergraduate,21089,MATH,1110,P01,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Alma High School",AHS,"28 / 70 / 99999",1/12/2026,5/6/2026,"Bean, Garin","MATH 1110 P01, CRN-21089",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21113,MATH,1110,P02,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Bauxite High School",BHS,"5 / 15 / 99999",1/12/2026,5/6/2026,"Hilderbrand, Jennifer","MATH 1110 P02, CRN-21113",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21121,MATH,1110,P03,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Dardanelle High School",DHS,"-6 / 17 / 99999",1/12/2026,5/6/2026,"Parker, Meagan A.","MATH 1110 P03, CRN-21121",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21128,MATH,1110,P04,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Dover High School",DHS,"-5 / 0 / 99999",1/12/2026,5/6/2026,"Sumners, Jon T.","MATH 1110 P04, CRN-21128",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21131,MATH,1110,P05,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Greenwood High School",GHS,"-12 / 0 / 99999",1/12/2026,5/6/2026,"Billingsley, Daniel W.","MATH 1110 P05, CRN-21131",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21162,MATH,1110,P06,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Russellville High School",RHS,"0 / 10 / 99999",1/12/2026,5/6/2026,"Lachowsky, Jennifer A.","MATH 1110 P06, CRN-21162",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21168,MATH,1110,P07,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Van Buren High School",VBHS,"-12 / 0 / 99999",1/12/2026,5/6/2026,"Fudge, Danna L.","MATH 1110 P07, CRN-21168",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21926,MATH,1110,P08,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Greenwood High School",GHS,"9 / 25 / 99999",1/12/2026,5/6/2026,"Billingsley, Daniel W.","MATH 1110 P08, CRN-21926",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21928,MATH,1110,P09,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Greenwood High School",GHS,"-18 / 0 / 99999",1/12/2026,5/6/2026,"Billingsley, Daniel W.","MATH 1110 P09, CRN-21928",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21930,MATH,1110,P10,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Greenwood High School",GHS,"-12 / 0 / 99999",1/12/2026,5/6/2026,"Billingsley, Daniel W.","MATH 1110 P10, CRN-21930",M,,"High School"
202620,"Spring Term 2026",Undergraduate,20467,MATH,1113,001,01,Active,"COLLEGE ALGEBRA",MWF,"11:00 am-11:50 am",Corley,104,"-19 / 0 / 36",1/12/2026,5/6/2026,"Hogan, Jessica L.","MATH 1113 001, CRN-20467",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20453,MATH,1113,002,01,Active,"COLLEGE ALGEBRA",TR,"08:00 am-09:20 am",Corley,104,"-19 / 0 / 36",1/12/2026,5/6/2026,"Winn, Janet L.","MATH 1113 002, CRN-20453",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20482,MATH,1113,003,01,Active,"COLLEGE ALGEBRA",MWF,"01:00 pm-01:50 pm",Rothwell,221,"-23 / 0 / 50",1/12/2026,5/6/2026,"Growns, Landon C.","MATH 1113 003, CRN-20482",M,,"Russellville On-campus"
