Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Growns, Landon C."
MATH 1914-001,time,T 9:30am,T 8:00am
MATH 1914-003,room,Corley 268,Ross Pendergraft Library 220
MATH 2914-001,time,R 9:30am,R 8:00am
MATH 2914-003,room,Corley 101,Corley 104
MATH 2924-002,time,MWF 12:00pm,MWF 8:00am
MATH 2934-001,instructor,Staff,"Overduin, Matthew D."
MATH 2934-001,time,T 9:30am,T 8:00am
MATH 2934-001,room,Rothwell 207,Corley 103
MATH 2934-002,instructor,Staff,Staff 2
MATH 2934-002,room,Corley 101,Corley 269
MATH 2934-002,room,Corley 101,Corley 268
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 0903-001,instructor,Staff 3,Staff
MATH 1113-001,instructor,Staff 3,Staff
MATH 0903-TC1,instructor,Staff,"Growns, Landon C."
MATH 1113-TC1,instructor,Staff,"Growns, Landon C."
MATH 1110-003,instructor,"Growns, Landon C.","Cox, Allie M."
MATH 1110-003,time,MW 2:00pm,MW 10:00am
MATH 1113-003,instructor,"Growns, Landon C.","Cox, Allie M."
MATH 1113-003,time,MWF 1:00pm,MWF 9:00am
MATH 0803-004,instructor,Staff 2,Staff
MATH 0803-004,time,MWF 11:00am,MWF 9:00am
MATH 1003-004,instructor,Staff 2,Staff
MATH 1003-004,time,MWF 10:00am,MWF 8:00am
MATH 1003-005,instructor,"Winn, Janet L.","King, Jamie L."
MATH 1003-005,room,Corley 104,Rothwell 207
MATH 1003-006,instructor,"King, Jamie L.","Winn, Janet L."
MATH 1003-006,time,MWF 9:00am,MWF 11:00am
MATH 1113-006,instructor,"Taylor, Teresa L.","Jordan, Susan M."
MATH 1113-006,room,Corley 104,Corley 101
MATH 1113-TC2,instructor,"Ballard, Kasey L.","Taylor, Teresa L."
MATH 2043-001,room,Corley 102,Rothwell 213
MATH 2223-003,time,MWF 10:00am,MWF 8:00am
MATH 2703-002,instructor,"Limperis, Thomas G.","Jordan, Susan M."
MATH 2703-002,room,Rothwell 206,Corley 101
MATH 2703-TC1,instructor,"Jordan, Susan M.","Ballard, Kasey L."
MATH 3243-002,instructor,"Limperis, Thomas G.","Xiao, Xinli"
MATH 3243-002,time,MWF 9:00am,MWF 8:00am
MATH 3243-002,room,Rothwell 212,Corley 268
MATH 4971-001,room,Corley 101,Ross Pendergraft Library 220
STAT 2163-001,time,MWF 10:00am,MWF 1:00pm
STAT 2163-001,room,Rothwell 221,Corley 268
MATH 1003-007,instructor,Staff,Staff 2
MATH 1003-007,time,MWF 1:00pm,MWF 9:00am
MATH 1003-007,room,,Corley 102
