Attempt,Status,Objective,BestBound,SolveSeconds,CandidateCount,SearchWorkers,SoftPenalty,SoftFindings,HardViolations,WorstOverload,Error
1,feasible,-950.0,-1220.0,47.263032900000006,26823,8,105.0,2,0,1.0,
2,feasible,-670.0,-1219.0,47.868550500000005,26823,8,300.0,11,0,1.0,
3,feasible,-835.0,-1219.0,47.170410200000006,26823,8,110.0,6,0,0.0,
4,feasible,-540.0,-1200.0,47.8831835,26823,8,100.0,6,0,0.0,
5,feasible,315.0,-1214.0,48.8984042,26823,8,1185.0,10,0,4.0,
