Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 1914-001,time,MWF 8:00am,MWF 2:00pm
MATH 1914-001,time,T 9:30am,R 2:30pm
MATH 2914-003,instructor,new_instructor,"Yousuf, Marium"
MATH 2914-003,room,Corley 101,Corley 267
MATH 2914-003,time,R 2:30pm,T 2:30pm
MATH 2924-001,room,Corley 102,Corley 267
MATH 2924-002,instructor,"Limperis, Thomas G.","Xiao, Xinli"
MATH 2924-002,time,MWF 12:00pm,MWF 9:00am
MATH 2924-002,time,T 1:00pm,T 9:30am
MATH 2934-001,instructor,new_professor,"Yousuf, Marium"
MATH 2934-001,room,Rothwell 207,Corley 268
MATH 2934-002,instructor,new_professor,"Overduin, Matthew D."
MATH 4123-001,instructor,new_professor,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 101,Rothwell 306
MATH 4123-H01,instructor,new_professor,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 101,Rothwell 306
MATH 0803-004,instructor,new_instructor 3,new_instructor
MATH 0803-004,room,Corley 101,Ross Pendergraft Library 220
MATH 1003-004,instructor,new_instructor 3,new_instructor
MATH 1003-004,room,Corley 101,Ross Pendergraft Library 220
MATH 0903-001,instructor,new_instructor,"Growns, Landon C."
MATH 1113-001,instructor,new_instructor,"Growns, Landon C."
MATH 0903-TC1,instructor,new_instructor,"Bain, Leslie M."
MATH 1113-TC1,instructor,new_instructor,"Bain, Leslie M."
MATH 1003-006,instructor,"King, Jamie L.","Ballard, Kasey L."
MATH 1003-006,time,MWF 9:00am,MWF 8:00am
MATH 1113-TC2,instructor,"Ballard, Kasey L.","Yousuf, Marium"
MATH 1203-TC1,instructor,"Bain, Leslie M.","Cox, Allie M."
MATH 2033-001,time,MWF 10:00am,MWF 1:00pm
MATH 2223-003,time,MWF 10:00am,MWF 9:00am
MATH 2223-003,room,Corley 103,Ross Pendergraft Library 332
MATH 2243-002,time,TR 9:30am,TR 2:30pm
MATH 2703-TC1,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 3243-002,time,MWF 9:00am,MWF 11:00am
MATH 4003-001,time,MWF 9:00am,MWF 1:00pm
STAT 2163-TC1,instructor,"Bain, Leslie M.","Yousuf, Marium"
MATH 1003-007,instructor,new_instructor,"King, Jamie L."
MATH 1003-007,time,MWF 8:00am,MWF 9:00am
MATH 1003-007,room,Corley 101,Rothwell 221
STAT 2163-004,instructor,new_instructor 2,new_professor
