"Term_Code","Term_Desc","Level","CRN","Subject","Number","Section","Session","Course_Status","Title","Meeting_Days","Meeting_Times","Building","Room","Seats_Avail","Start_Date","End_Date","Instructor","course_id","Campus","Delivery_Method","LOCATION"
202670,"Fall Term 2026",Undergraduate,70249,MATH,1110,009,01,Active,"COLLEGE ALGEBRA LAB",MW,"11:00 am-11:50 am",Corley,103,"-33 / 0 / 36",8/19/2026,12/11/2026,"Taylor, Teresa L.","MATH 1110 009, CRN-70249",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70272,MATH,1110,010,01,Active,"COLLEGE ALGEBRA LAB",MW,"12:00 pm-12:50 pm",Corley,104,"-32 / 0 / 36",8/19/2026,12/11/2026,"Cox, Allie M.","MATH 1110 010, CRN-70272",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,71869,MATH,1110,ET1,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Multiple High Schools (ET)",ET,"15 / 63 / 99999",8/19/2026,12/11/2026,"Ridenour, Anna M.","MATH 1110 ET1, CRN-71869",M,"Web Only: Incl Proctored Exams","High School"
202670,"Fall Term 2026",Undergraduate,71871,MATH,1110,ET2,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Multiple High Schools (ET)",ET,"8 / 80 / 99999",8/19/2026,12/11/2026,"Singleton, Brit P.","MATH 1110 ET2, CRN-71871",M,"Web Only: Incl Proctored Exams","High School"
202670,"Fall Term 2026",Undergraduate,71788,MATH,1110,P01,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Dover High School",DHS,"3 / 35 / 99999",8/19/2026,12/11/2026,"Sumners, Jon T.","MATH 1110 P01, CRN-71788",M,,"High School"
202670,"Fall Term 2026",Undergraduate,71791,MATH,1110,P02,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Alma High School",AHS,"-2 / 26 / 99999",8/19/2026,12/11/2026,"Bean, Garin","MATH 1110 P02, CRN-71791",M,,"High School"
202670,"Fall Term 2026",Undergraduate,71991,MATH,1110,P03,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Russellville High School",RHS,"-14 / 96 / 99999",8/19/2026,12/11/2026,"Hogan, Jessica L.","MATH 1110 P03, CRN-71991",M,,"High School"
202670,"Fall Term 2026",Undergraduate,71999,MATH,1110,P04,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Ozark High School",OHS,"-1 / 18 / 99999",8/19/2026,12/11/2026,"Dalling, Heather","MATH 1110 P04, CRN-71999",M,,"High School"
202670,"Fall Term 2026",Undergraduate,72003,MATH,1110,P05,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Bauxite High School",BHS,"3 / 13 / 99999",8/19/2026,12/11/2026,"Hilderbrand, Jennifer","MATH 1110 P05, CRN-72003",M,,"High School"
202670,"Fall Term 2026",Undergraduate,72008,MATH,1110,P06,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Maumelle Charter High School",MCHS,"10 / 13 / 9999",8/19/2026,12/11/2026,"King, William H.","MATH 1110 P06, CRN-72008",M,,"High School"
