Subject,Number,Section,Type,Title,Credits,Instructor,Time Slot,Duration,Days,Start,End,Room,Building,Cross-List
MATH,1113,F01,,COLLEGE ALGEBRA,,"Yousuf, Marium",,,,,,,,
MATH,1113,F01,,COLLEGE ALGEBRA,,"Yousuf, Marium",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,269,Corley,
MATH,1914,001,,PRECALCULUS,,"Jordan, Susan M.",MWF 8:00am,50.0,MWF,08:00:00,08:50:00,101,Corley,
MATH,1914,001,,PRECALCULUS,,"Jordan, Susan M.",T 9:30am,80.0,T,09:30:00,10:50:00,101,Corley,
MATH,1914,003,,PRECALCULUS,,"Ballard, Kasey L.",R 9:30am,80.0,R,09:30:00,10:50:00,102,Corley,
MATH,1914,003,,PRECALCULUS,,"Ballard, Kasey L.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,268,Corley,
MATH,2914,001,,CALCULUS I,,"Jordan, Susan M.",MWF 9:00am,50.0,MWF,09:00:00,09:50:00,101,Corley,
MATH,2914,001,,CALCULUS I,,"Jordan, Susan M.",R 9:30am,80.0,R,09:30:00,10:50:00,101,Corley,
MATH,2914,002,,CALCULUS I,,"Jordan, Susan M.",R 1:00pm,80.0,R,13:00:00,14:20:00,101,Corley,
MATH,2914,002,,CALCULUS I,,"Jordan, Susan M.",MWF 1:00pm,50.0,MWF,13:00:00,13:50:00,101,Corley,
MATH,2914,003,,CALCULUS I,,"Yousuf, Marium",MWF 2:00pm,50.0,MWF,14:00:00,14:50:00,101,Corley,
MATH,2914,003,,CALCULUS I,,"Yousuf, Marium",R 2:30pm,80.0,R,14:30:00,15:50:00,268,Corley,
MATH,2924,001,,CALCULUS II,,"Yousuf, Marium",MWF 1:00pm,50.0,MWF,13:00:00,13:50:00,102,Corley,
MATH,2924,001,,CALCULUS II,,"Yousuf, Marium",R 1:00pm,80.0,R,13:00:00,14:20:00,102,Corley,
MATH,2924,002,,CALCULUS II,,"Limperis, Thomas G.",MWF 12:00pm,50.0,MWF,12:00:00,12:50:00,206,Rothwell,
MATH,2924,002,,CALCULUS II,,"Limperis, Thomas G.",T 1:00pm,80.0,T,13:00:00,14:20:00,206,Rothwell,
MATH,2924,003,,CALCULUS II,,"Limperis, Thomas G.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,306,Rothwell,
MATH,2924,003,,CALCULUS II,,"Limperis, Thomas G.",R 9:30am,80.0,R,09:30:00,10:50:00,206,Rothwell,
MATH,2934,001,,CALCULUS III,,Staff,T 9:30am,80.0,T,09:30:00,10:50:00,207,Rothwell,
MATH,2934,001,,CALCULUS III,,Staff,MWF 10:00am,50.0,MWF,10:00:00,10:50:00,207,Rothwell,
MATH,2934,002,,CALCULUS III,,Staff,MWF 11:00am,50.0,MWF,11:00:00,11:50:00,101,Corley,
MATH,2934,002,,CALCULUS III,,Staff,R 11:00am,80.0,R,11:00:00,12:20:00,101,Corley,
MATH,3203,001,,INTRO TO ANALYSIS,,"Overduin, Matthew D.",MWF 8:00am,50.0,MWF,08:00:00,08:50:00,268,Corley,
MATH,3203,H01,,HONORS INTRO TO ANALYSIS,,"Overduin, Matthew D.",MWF 8:00am,50.0,MWF,08:00:00,08:50:00,268,Corley,
MATH,0803,001,,FOUNDATIONS OF COLLEGE MATH,,"Winn, Janet L.",TR 9:30am,80.0,TR,09:30:00,10:50:00,103,Corley,
MATH,1003,001,,COLLEGE MATHEMATICS,,"Winn, Janet L.",MWF 9:00am,50.0,MWF,09:00:00,09:50:00,103,Corley,
MATH,0803,002,,FOUNDATIONS OF COLLEGE MATH,,"Growns, Landon C.",MWF 9:00am,50.0,MWF,09:00:00,09:50:00,331,Ross Pendergraft Library,
MATH,1003,002,,COLLEGE MATHEMATICS,,"Growns, Landon C.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,331,Ross Pendergraft Library,
MATH,0803,003,,FOUNDATIONS OF COLLEGE MATH,,"Ballard, Kasey L.",MWF 1:00pm,50.0,MWF,13:00:00,13:50:00,103,Corley,
MATH,1003,003,,COLLEGE MATHEMATICS,,"Ballard, Kasey L.",MWF 2:00pm,50.0,MWF,14:00:00,14:50:00,103,Corley,
MATH,0803,TC1,,FOUNDATIONS OF COLLEGE MATH,,"King, Jamie L.",,,,,,,,
MATH,1003,TC1,,COLLEGE MATHEMATICS,,"King, Jamie L.",,,,,,,,
MATH,0903,001,,BEGIN/INTERMEDIATE ALGEBRA,,"Yousuf, Marium",TR 11:00am,80.0,TR,11:00:00,12:20:00,104,Corley,
MATH,1113,001,,COLLEGE ALGEBRA,,"Yousuf, Marium",MWF 11:00am,50.0,MWF,11:00:00,11:50:00,104,Corley,
MATH,0903,002,,BEGIN/INTERMEDIATE ALGEBRA,,"Growns, Landon C.",MWF 8:00am,50.0,MWF,08:00:00,08:50:00,104,Corley,
MATH,1113,002,,COLLEGE ALGEBRA,,"Growns, Landon C.",TR 8:00am,80.0,TR,08:00:00,09:20:00,104,Corley,
MATH,0903,TC1,,BEGIN/INTERMEDIATE ALGEBRA,,Staff,,,,,,,,
MATH,1113,TC1,,COLLEGE ALGEBRA,,Staff,,,,,,,,
MATH,1110,003,,COLLEGE ALGEBRA LAB,,"Growns, Landon C.",MW 2:00pm,50.0,MW,14:00:00,14:50:00,221,Rothwell,
MATH,1113,003,,COLLEGE ALGEBRA,,"Growns, Landon C.",MWF 1:00pm,50.0,MWF,13:00:00,13:50:00,221,Rothwell,
MATH,0803,004,Lecture,FOUNDATIONS OF COLLEGE MATH,3.0,Staff 2,MWF 11:00am,50.0,MWF,11:00:00,11:50:00,,,
MATH,1003,004,Lecture,COLLEGE MATHEMATICS,3.0,Staff 2,MWF 11:50am,50.0,MWF,11:50:00,12:40:00,,,
MATH,1003,005,,COLLEGE MATHEMATICS,,"Winn, Janet L.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,104,Corley,
MATH,1003,006,,COLLEGE MATHEMATICS,,"Winn, Janet L.",MWF 8:00am,50.0,MWF,08:00:00,08:50:00,221,Rothwell,
MATH,1003,TC2,,COLLEGE MATHEMATICS,,"King, Jamie L.",,,,,,,,
MATH,1113,006,,COLLEGE ALGEBRA,,"Taylor, Teresa L.",TR 9:30am,80.0,TR,09:30:00,10:50:00,104,Corley,
