Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 1914-001,time,MWF 8:00am,MWF 11:00am
MATH 2914-002,instructor,"Jordan, Susan M.","Bain, Leslie M."
MATH 2914-002,time,R 1:00pm,T 2:30pm
MATH 2914-002,room,Corley 101,Corley 267
MATH 2924-002,instructor,"Yousuf, Marium","Overduin, Matthew D."
MATH 2924-002,time,MWF 12:00pm,MWF 2:00pm
MATH 2924-003,time,MWF 10:00am,MWF 11:00am
MATH 2934-001,instructor,Staff,"Limperis, Thomas G."
MATH 2934-002,instructor,Staff,"Yousuf, Marium"
MATH 2934-002,room,Corley 101,Corley 268
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 268,Rothwell 312
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 268,Rothwell 312
MATH 0903-001,instructor,Staff 3,Staff
MATH 1113-001,instructor,Staff 3,Staff
MATH 0903-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 1113-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 0803-004,instructor,Staff 2,"Winn, Janet L."
MATH 1003-004,instructor,Staff 2,"Winn, Janet L."
MATH 1003-005,time,MWF 10:00am,MWF 2:00pm
MATH 1003-006,instructor,"King, Jamie L.","Jordan, Susan M."
MATH 1003-006,time,MWF 9:00am,MWF 1:00pm
MATH 1003-006,room,Rothwell 221,Corley 101
MATH 1113-006,instructor,"Taylor, Teresa L.","Jordan, Susan M."
MATH 1113-006,time,TR 9:30am,TR 1:00pm
MATH 1113-006,room,Corley 104,Corley 101
MATH 1113-TC2,instructor,"Ballard, Kasey L.","Taylor, Teresa L."
MATH 1203-TC1,instructor,"Bain, Leslie M.","Cox, Allie M."
MATH 2703-TC1,instructor,"Jordan, Susan M.","Ballard, Kasey L."
MATH 3123-001,time,MWF 2:00pm,MWF 8:00am
MATH 3243-002,instructor,"Limperis, Thomas G.","Xiao, Xinli"
MATH 3243-002,time,MWF 9:00am,MWF 2:00pm
STAT 2163-004,instructor,Staff,"King, Jamie L."
STAT 2163-004,room,,Corley 269
