Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 1914-003,instructor,"Ballard, Kasey L.","Jordan, Susan M."
MATH 1914-003,time,R 9:30am,T 8:00am
MATH 1914-003,room,Corley 102,Corley 101
MATH 1914-003,time,MWF 10:00am,MWF 11:00am
MATH 1914-003,room,Corley 268,Corley 101
MATH 2924-002,time,MWF 12:00pm,MWF 8:00am
MATH 2934-002,room,Corley 101,Corley 269
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 1:00pm
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 1:00pm
MATH 0903-001,instructor,Staff 3,"Growns, Landon C."
MATH 1113-001,instructor,Staff 3,"Growns, Landon C."
MATH 1113-006,room,Corley 104,Corley 102
MATH 1203-TC1,instructor,"Bain, Leslie M.","Cox, Allie M."
MATH 2703-001,instructor,"Jordan, Susan M.","Overduin, Matthew D."
MATH 2703-002,time,TR 11:00am,TR 1:00pm
MATH 2703-002,room,Rothwell 206,Corley 268
MATH 2703-TC1,instructor,"Jordan, Susan M.","Ballard, Kasey L."
MATH 3243-002,instructor,"Limperis, Thomas G.","Xiao, Xinli"
MATH 3243-002,time,MWF 9:00am,MWF 8:00am
STAT 2163-004,instructor,Staff,"Bain, Leslie M."
STAT 2163-004,room,,Corley 104
