Attempt,Status,Objective,BestBound,SolveSeconds,CandidateCount,SoftPenalty,SoftFindings,HardViolations,WorstOverload,Error
1,feasible,-825.0,-1720.0,45.0118407,6122,175.0,5,0,1.0,
2,feasible,-810.0,-1675.0,45.0121507,6122,330.0,8,0,2.0,
3,feasible,-965.0,-1715.0,45.0108376,6122,75.0,5,0,0.0,
4,feasible,-1075.0,-1655.0,45.140545100000004,6122,15.0,2,0,1.0,
5,feasible,-920.0,-1715.0,45.013302100000004,6122,105.0,7,0,1.0,
