Course ID,Field,Before,After
MATH 1113-F01,instructor,"Yousuf, Marium","Taylor, Teresa L."
MATH 1113-F01,time,MWF 10:00am,MWF 2:00pm
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 2914-003,room,Corley 101,Corley 102
MATH 2924-001,instructor,"Yousuf, Marium","Xiao, Xinli"
MATH 2924-002,instructor,"Yousuf, Marium","Xiao, Xinli"
MATH 2924-002,time,MWF 12:00pm,MWF 2:00pm
MATH 2924-003,time,MWF 10:00am,MWF 11:00am
MATH 2934-001,instructor,Staff,"Limperis, Thomas G."
MATH 2934-002,instructor,Staff,"Yousuf, Marium"
MATH 2934-002,room,Corley 101,Corley 269
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 268,Rothwell 212
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 268,Rothwell 212
MATH 0903-001,instructor,Staff 3,"Growns, Landon C."
MATH 1113-001,instructor,Staff 3,"Growns, Landon C."
MATH 0803-004,instructor,Staff 2,Staff
MATH 0803-004,room,Corley 267,Corley 101
MATH 1003-004,instructor,Staff 2,Staff
MATH 1003-004,room,Corley 267,Corley 101
MATH 1113-006,instructor,"Taylor, Teresa L.","Yousuf, Marium"
MATH 2243-001,instructor,"Overduin, Matthew D.","Cox, Allie M."
MATH 2703-001,time,MWF 10:00am,MWF 2:00pm
MATH 2703-002,instructor,"Limperis, Thomas G.","Yousuf, Marium"
MATH 2703-002,time,TR 11:00am,TR 8:00am
MATH 2703-TC1,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 3123-001,room,Corley 102,Ross Pendergraft Library 331
MATH 3243-001,instructor,"Xiao, Xinli","Overduin, Matthew D."
MATH 3243-002,time,MWF 9:00am,MWF 2:00pm
MATH 4003-001,instructor,"Xiao, Xinli","Overduin, Matthew D."
STAT 2163-001,room,Rothwell 221,Corley 269
STAT 2163-004,instructor,Staff,"Jordan, Scott M."
STAT 2163-004,room,,Ross Pendergraft Library 332
