Subject,Number,Section,Type,Title,Credits,Instructor,Delivery Mode,Scheduling Status,Time Slot,Duration,Days,Start,End,Building,Room,Cross-List,CRN,Seats Available,Source Row
MATH,1113,002,,COLLEGE ALGEBRA,,"Winn, Janet L.",in_person,scheduled,TR 8:00am,80,TR,08:00:00,09:20:00,Corley,104,,20453,-19 / 0 / 36,35
MATH,1113,003,,COLLEGE ALGEBRA,,"Growns, Landon C.",in_person,scheduled,MWF 1:00pm,50,MWF,13:00:00,13:50:00,Rothwell,221,,20482,-23 / 0 / 50,36
MATH,1113,006,,COLLEGE ALGEBRA,,"Taylor, Teresa L.",in_person,scheduled,TR 9:30am,80,TR,09:30:00,10:50:00,Corley,104,,20455,17 / 30 / 36,37
MATH,1113,A01,,COLLEGE ALGEBRA,,"Koone, Shelley D.",in_person,scheduled,MW 8:00am,80,MW,08:00:00,09:20:00,Ozark Allied Health,111,,20959,17 / 23 / 28,38
MATH,1113,A01,,COLLEGE ALGEBRA,,"Ingram, Brianna R.",in_person,scheduled,MW 8:00am,80,MW,08:00:00,09:20:00,Ozark Allied Health,111,,20959,17 / 23 / 28,39
MATH,1113,A01,,COLLEGE ALGEBRA,,"Macy, Benjamin A.",in_person,scheduled,MW 8:00am,80,MW,08:00:00,09:20:00,Ozark Allied Health,111,,20959,17 / 23 / 28,40
MATH,1113,A02,,COLLEGE ALGEBRA,,new_instructor,arranged,unscheduled,,,,,,,,,20961,0 / 0 / na,41
MATH,1113,A03,,COLLEGE ALGEBRA,,"Koone, Shelley D.",in_person,scheduled,R 5:00pm,170,R,17:00:00,19:50:00,Ozark Allied Health,111,,20963,21 / 23 / 28,42
MATH,1113,ET1,,COLLEGE ALGEBRA,,"Ridenour, Anna M.",arranged,unscheduled,,,,,,Multiple High Schools (ET),ET,,21095,13 / 71 / 99999,43
MATH,1113,ET2,,COLLEGE ALGEBRA,,"Singleton, Brit P.",arranged,unscheduled,,,,,,Multiple High Schools (ET),ET,,21097,-19 / 35 / 99999,44
MATH,1113,F01,,COLLEGE ALGEBRA,,"Hogan, Jessica L.",arranged,unscheduled,,,,,,,,,20470,12 / 30 / na,45
MATH,1113,F01,,COLLEGE ALGEBRA,,"Hogan, Jessica L.",in_person,scheduled,MWF 10:00am,50,MWF,10:00:00,10:50:00,Corley,269,,20470,12 / 30 / 36,46
MATH,1113,P01,,COLLEGE ALGEBRA,,"Bean, Garin",arranged,unscheduled,,,,,,Alma High School,AHS,,21088,28 / 70 / 99999,47
MATH,1113,P02,,COLLEGE ALGEBRA,,"Hilderbrand, Jennifer",arranged,unscheduled,,,,,,Bauxite High School,BHS,,21112,5 / 15 / 99999,48
MATH,1113,P03,,COLLEGE ALGEBRA,,"Parker, Meagan A.",arranged,unscheduled,,,,,,Dardanelle High School,DHS,,21120,-6 / 17 / 99999,49
MATH,1113,P04,,COLLEGE ALGEBRA,,"Sumners, Jon T.",arranged,unscheduled,,,,,,Dover High School,DHS,,21127,-5 / 0 / 99999,50
MATH,1113,P05,,COLLEGE ALGEBRA,,"Billingsley, Daniel W.",arranged,unscheduled,,,,,,Greenwood High School,GHS,,21130,-12 / 0 / 99999,51
MATH,1113,P06,,COLLEGE ALGEBRA,,"Lachowsky, Jennifer A.",arranged,unscheduled,,,,,,Russellville High School,RHS,,21161,0 / 10 / 99999,52
MATH,1113,P07,,COLLEGE ALGEBRA,,"Fudge, Danna L.",arranged,unscheduled,,,,,,Van Buren High School,VBHS,,21167,-12 / 0 / 99999,53
MATH,1113,P08,,COLLEGE ALGEBRA,,"Billingsley, Daniel W.",arranged,unscheduled,,,,,,Greenwood High School,GHS,,21925,4 / 20 / 99999,54
MATH,1113,P09,,COLLEGE ALGEBRA,,"Billingsley, Daniel W.",arranged,unscheduled,,,,,,Greenwood High School,GHS,,21927,-18 / 0 / 99999,55
MATH,1113,P10,,COLLEGE ALGEBRA,,"Billingsley, Daniel W.",arranged,unscheduled,,,,,,Greenwood High School,GHS,,21929,-12 / 0 / 99999,56
MATH,1113,TC1,,COLLEGE ALGEBRA,,"Hogan, Jessica L.",arranged,unscheduled,,,,,,,,,20469,-5 / 0 / na,57
