Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 1914-001,time,T 9:30am,T 1:00pm
MATH 1914-003,time,MWF 10:00am,MWF 9:00am
MATH 2914-001,instructor,"Jordan, Susan M.","Overduin, Matthew D."
MATH 2914-001,room,Corley 101,Corley 267
MATH 2914-001,time,R 9:30am,R 8:00am
MATH 2914-003,instructor,"Yousuf, Marium","Xiao, Xinli"
MATH 2914-003,time,R 2:30pm,R 11:00am
MATH 2924-001,instructor,"Yousuf, Marium","Xiao, Xinli"
MATH 2924-001,room,Corley 102,Corley 103
MATH 2924-002,instructor,"Yousuf, Marium","Limperis, Thomas G."
MATH 2924-002,time,MWF 12:00pm,MWF 1:00pm
MATH 2924-003,room,Rothwell 306,Rothwell 207
MATH 2934-001,time,MWF 10:00am,MWF 9:00am
MATH 2934-002,instructor,Staff,"Yousuf, Marium"
MATH 2934-002,time,MWF 11:00am,MWF 9:00am
MATH 2934-002,room,Corley 101,Corley 269
MATH 4123-001,room,Corley 268,Corley 267
MATH 4123-H01,room,Corley 268,Corley 267
MATH 0903-001,instructor,Staff 3,"Growns, Landon C."
MATH 1113-001,instructor,Staff 3,"Growns, Landon C."
MATH 1110-003,instructor,"Growns, Landon C.","Cox, Allie M."
MATH 1113-003,instructor,"Growns, Landon C.","Cox, Allie M."
MATH 0803-004,instructor,Staff 2,"King, Jamie L."
MATH 0803-004,room,Corley 267,Corley 103
MATH 1003-004,instructor,Staff 2,"King, Jamie L."
MATH 1003-004,room,Corley 267,Corley 103
MATH 1003-005,instructor,"Winn, Janet L.","Jordan, Susan M."
MATH 1003-005,room,Corley 104,Corley 101
MATH 1003-006,instructor,"King, Jamie L.","Jordan, Susan M."
MATH 1003-006,time,MWF 9:00am,MWF 11:00am
MATH 1003-006,room,Rothwell 221,Corley 101
MATH 1003-TC2,instructor,"King, Jamie L.","Winn, Janet L."
MATH 1113-006,instructor,"Taylor, Teresa L.","Jordan, Susan M."
MATH 1113-006,room,Corley 104,Corley 101
MATH 1113-TC2,instructor,"Ballard, Kasey L.","Taylor, Teresa L."
MATH 2223-001,room,Corley 103,Rothwell 207
MATH 2223-003,room,Corley 103,Corley 104
MATH 2243-001,instructor,"Overduin, Matthew D.","Ballard, Kasey L."
MATH 2243-001,time,MWF 1:00pm,MWF 8:00am
MATH 2243-001,room,Corley 104,Rothwell 306
MATH 2703-001,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 2703-001,time,MWF 10:00am,MWF 11:00am
MATH 2703-001,room,Corley 101,Corley 102
MATH 2703-002,instructor,"Limperis, Thomas G.","Yousuf, Marium"
MATH 2703-002,time,TR 11:00am,TR 1:00pm
MATH 2703-002,room,Rothwell 206,Corley 102
MATH 2703-TC1,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 3243-001,instructor,"Xiao, Xinli","Limperis, Thomas G."
MATH 3243-001,time,MWF 10:00am,MWF 11:00am
MATH 4003-001,instructor,"Xiao, Xinli","Overduin, Matthew D."
MATH 4003-001,time,MWF 9:00am,MWF 8:00am
STAT 2163-001,time,MWF 10:00am,MWF 9:00am
STAT 3153-001,room,Rothwell 207,Rothwell 312
STAT 3153-002,room,Corley 102,Rothwell 221
MATH 1003-007,instructor,Staff,"Growns, Landon C."
MATH 1003-007,time,MWF 1:00pm,MWF 8:00am
MATH 1003-007,room,,Ross Pendergraft Library 331
