Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 1914-001,time,MWF 8:00am,MWF 2:00pm
MATH 1914-003,instructor,"Ballard, Kasey L.","Winn, Janet L."
MATH 1914-003,room,Corley 268,Corley 103
MATH 2914-003,instructor,"Yousuf, Marium","Ballard, Kasey L."
MATH 2914-003,time,MWF 2:00pm,MWF 11:00am
MATH 2914-003,time,R 2:30pm,R 11:00am
MATH 2924-001,instructor,"Yousuf, Marium","Limperis, Thomas G."
MATH 2924-001,room,Corley 102,Rothwell 306
MATH 2924-001,room,Corley 102,Rothwell 213
MATH 2924-002,time,MWF 12:00pm,MWF 2:00pm
MATH 2924-003,instructor,"Limperis, Thomas G.","Overduin, Matthew D."
MATH 2924-003,room,Rothwell 306,Corley 268
MATH 2924-003,time,R 9:30am,R 8:00am
MATH 2934-001,instructor,Staff,"Limperis, Thomas G."
MATH 2934-002,instructor,Staff,"Yousuf, Marium"
MATH 2934-002,room,Corley 101,Corley 104
MATH 2934-002,time,R 11:00am,T 2:30pm
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 268,Rothwell 221
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 268,Rothwell 221
MATH 0803-001,instructor,"Winn, Janet L.","King, Jamie L."
MATH 1003-001,instructor,"Winn, Janet L.","King, Jamie L."
MATH 0903-001,instructor,Staff 3,"Growns, Landon C."
MATH 1113-001,instructor,Staff 3,"Growns, Landon C."
MATH 1113-001,room,Corley 104,Corley 269
MATH 0803-004,instructor,Staff 2,Staff
MATH 0803-004,time,MWF 11:00am,MWF 10:00am
MATH 1003-004,instructor,Staff 2,Staff
MATH 1003-004,time,MWF 10:00am,MWF 9:00am
MATH 1003-005,time,MWF 10:00am,MWF 9:00am
MATH 1003-005,room,Corley 104,Corley 268
MATH 1003-006,instructor,"King, Jamie L.","Winn, Janet L."
MATH 1003-006,time,MWF 9:00am,MWF 11:00am
MATH 2223-001,room,Corley 103,Rothwell 312
MATH 2223-003,time,MWF 10:00am,MWF 9:00am
MATH 2223-003,room,Corley 103,Ross Pendergraft Library 220
MATH 2243-001,instructor,"Overduin, Matthew D.","Cox, Allie M."
MATH 2703-002,instructor,"Limperis, Thomas G.","Yousuf, Marium"
MATH 2703-TC1,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 3243-001,instructor,"Xiao, Xinli","Overduin, Matthew D."
MATH 3243-001,time,MWF 10:00am,MWF 1:00pm
MATH 3243-002,time,MWF 9:00am,MWF 11:00am
STAT 2163-001,instructor,"King, Jamie L.","Jordan, Scott M."
MATH 1003-007,room,,Ross Pendergraft Library 220
STAT 2163-004,room,,Corley 104
