Course ID,Field,Before,After
MATH 1113-F01,instructor,new_instructor,"Yousuf, Marium"
MATH 1113-F01,time,MWF 10:00am,MWF 9:00am
MATH 1914-001,time,MWF 8:00am,MWF 9:00am
MATH 1914-001,room,Corley 101,Corley 268
MATH 1914-001,room,Corley 101,Ross Pendergraft Library 332
MATH 1914-003,instructor,"Ballard, Kasey L.","Jordan, Susan M."
MATH 1914-003,room,Corley 102,Corley 101
MATH 1914-003,time,MWF 10:00am,MWF 11:00am
MATH 1914-003,room,Corley 268,Corley 101
MATH 2914-001,time,R 9:30am,T 9:30am
MATH 2914-003,instructor,new_instructor,"Jordan, Susan M."
MATH 2924-001,instructor,new_professor,"Xiao, Xinli"
MATH 2924-001,room,Corley 102,Corley 103
MATH 2924-002,time,MWF 12:00pm,MWF 2:00pm
MATH 2934-001,instructor,new_professor,"Yousuf, Marium"
MATH 2934-001,room,Rothwell 207,Corley 104
MATH 2934-002,instructor,new_professor,"Overduin, Matthew D."
MATH 2934-002,room,Corley 101,Corley 267
MATH 4123-001,instructor,new_professor,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 101,Rothwell 312
MATH 4123-H01,instructor,new_professor,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 101,Rothwell 312
MATH 0803-004,instructor,new_instructor,"King, Jamie L."
MATH 0803-004,room,Corley 101,Corley 267
MATH 1003-004,instructor,new_instructor,"King, Jamie L."
MATH 1003-004,room,Corley 101,Corley 267
MATH 0903-001,instructor,new_instructor,"Winn, Janet L."
MATH 1113-001,instructor,new_instructor,"Winn, Janet L."
MATH 1113-001,room,Corley 104,Corley 269
MATH 0903-002,time,MWF 8:00am,MWF 2:00pm
MATH 1113-002,time,TR 8:00am,TR 2:30pm
MATH 1110-003,time,MW 2:00pm,TR 1:00pm
MATH 1003-005,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 1003-005,time,MWF 10:00am,MWF 11:00am
MATH 1003-006,instructor,"King, Jamie L.","Growns, Landon C."
MATH 1003-006,time,MWF 9:00am,MWF 2:00pm
MATH 1003-TC2,instructor,"King, Jamie L.","Ballard, Kasey L."
MATH 1113-006,room,Corley 104,Ross Pendergraft Library 220
MATH 1113-TC2,instructor,"Ballard, Kasey L.","Yousuf, Marium"
MATH 2243-002,room,Ross Pendergraft Library 220,Rothwell 221
MATH 2703-001,instructor,"Jordan, Susan M.","Ballard, Kasey L."
MATH 2703-TC1,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 3243-002,instructor,"Limperis, Thomas G.",new_professor
STAT 2163-TC2,instructor,"Bain, Leslie M.","Yousuf, Marium"
MATH 1003-007,instructor,new_instructor 3,new_instructor
STAT 2163-004,instructor,new_instructor 2,"Bain, Leslie M."
STAT 2163-004,room,Corley 101,Corley 104
