Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 1914-001,time,MWF 8:00am,MWF 2:00pm
MATH 1914-003,instructor,"Ballard, Kasey L.","Jordan, Susan M."
MATH 1914-003,time,R 9:30am,T 1:00pm
MATH 1914-003,room,Corley 102,Corley 101
MATH 1914-003,room,Corley 268,Corley 101
MATH 2914-003,room,Corley 101,Corley 268
MATH 2924-001,instructor,"Yousuf, Marium","Overduin, Matthew D."
MATH 2924-002,instructor,"Yousuf, Marium","Overduin, Matthew D."
MATH 2924-002,time,MWF 12:00pm,MWF 11:00am
MATH 2924-003,time,MWF 10:00am,MWF 11:00am
MATH 2934-001,instructor,Staff,"Limperis, Thomas G."
MATH 2934-002,instructor,Staff,Staff 3
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 268,Rothwell 306
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 268,Rothwell 306
MATH 0903-001,instructor,Staff 3,"Winn, Janet L."
MATH 1113-001,instructor,Staff 3,"Winn, Janet L."
MATH 0903-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 1113-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 0903-TC1,instructor,Staff,Staff 3
MATH 1113-TC1,instructor,Staff,Staff 3
MATH 0803-004,instructor,Staff 2,Staff
MATH 0803-004,room,Corley 267,Corley 268
MATH 1003-004,instructor,Staff 2,Staff
MATH 1003-004,room,Corley 267,Corley 268
MATH 1113-006,room,Corley 104,Corley 102
MATH 1203-TC1,instructor,"Bain, Leslie M.","Ballard, Kasey L."
MATH 2243-001,instructor,"Overduin, Matthew D.","Cox, Allie M."
MATH 2703-001,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 2703-001,time,MWF 10:00am,MWF 9:00am
MATH 2703-001,room,Corley 101,Corley 267
MATH 2703-002,instructor,"Limperis, Thomas G.","Yousuf, Marium"
MATH 2703-TC1,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 3243-002,time,MWF 9:00am,MWF 2:00pm
MATH 1003-007,instructor,Staff,Staff 3
MATH 1003-007,time,MWF 1:00pm,MWF 8:00am
MATH 1003-007,room,,Rothwell 306
STAT 2163-004,instructor,Staff,"Bain, Leslie M."
STAT 2163-004,room,,Corley 104
