Course ID,Field,Before,After
MATH 1914-001,time,MWF 8:00am,MWF 9:00am
MATH 1914-001,room,Corley 101,Corley 267
MATH 1914-003,time,MWF 10:00am,MWF 9:00am
MATH 2914-001,instructor,"Jordan, Susan M.","Growns, Landon C."
MATH 2914-001,time,MWF 9:00am,MWF 8:00am
MATH 2914-001,room,Corley 101,Corley 103
MATH 2914-003,instructor,"Yousuf, Marium","Jordan, Susan M."
MATH 2924-001,time,MWF 1:00pm,MWF 8:00am
MATH 2924-002,instructor,"Yousuf, Marium","Xiao, Xinli"
MATH 2924-002,time,MWF 12:00pm,MWF 1:00pm
MATH 2924-003,time,MWF 10:00am,MWF 11:00am
MATH 2934-001,instructor,Staff,"Limperis, Thomas G."
MATH 2934-002,time,R 11:00am,T 2:30pm
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 268,Rothwell 306
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 268,Rothwell 306
MATH 0803-001,room,Corley 103,Corley 269
MATH 0903-002,time,MWF 8:00am,MWF 2:00pm
MATH 1113-002,time,TR 8:00am,TR 2:30pm
MATH 0903-TC1,instructor,Staff,Staff 2
MATH 1113-TC1,instructor,Staff,Staff 2
MATH 1003-005,instructor,"Winn, Janet L.","Ballard, Kasey L."
MATH 1003-006,instructor,"King, Jamie L.","Winn, Janet L."
MATH 1003-006,time,MWF 9:00am,MWF 11:00am
MATH 1113-006,instructor,"Taylor, Teresa L.","Jordan, Susan M."
MATH 1113-006,room,Corley 104,Corley 101
MATH 1113-TC2,instructor,"Ballard, Kasey L.","Taylor, Teresa L."
MATH 2703-002,instructor,"Limperis, Thomas G.","Jordan, Susan M."
MATH 2703-002,room,Rothwell 206,Corley 101
MATH 2703-TC1,instructor,"Jordan, Susan M.","Overduin, Matthew D."
MATH 3243-001,instructor,"Xiao, Xinli","Limperis, Thomas G."
MATH 3243-001,time,MWF 10:00am,MWF 2:00pm
MATH 3243-002,instructor,"Limperis, Thomas G.","Xiao, Xinli"
MATH 3243-002,time,MWF 9:00am,MWF 10:00am
MATH 4971-001,time,T 11:00am,W 12:00pm
MATH 1003-007,instructor,Staff,Staff 3
MATH 1003-007,time,MWF 1:00pm,MWF 8:00am
MATH 1003-007,room,,Rothwell 213
STAT 2163-004,instructor,Staff,"King, Jamie L."
STAT 2163-004,room,,Corley 268
