Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 1914-001,time,MWF 8:00am,MWF 2:00pm
MATH 1914-003,room,Corley 268,Corley 104
MATH 2914-003,instructor,"Yousuf, Marium","Xiao, Xinli"
MATH 2914-003,time,MWF 2:00pm,MWF 8:00am
MATH 2924-002,time,MWF 12:00pm,MWF 8:00am
MATH 2934-001,instructor,Staff,"Overduin, Matthew D."
MATH 2934-001,time,T 9:30am,R 9:30am
MATH 2934-002,instructor,Staff,"Limperis, Thomas G."
MATH 2934-002,room,Corley 101,Corley 267
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 1:00pm
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 1:00pm
MATH 0903-001,instructor,Staff 3,Staff
MATH 1113-001,instructor,Staff 3,Staff
MATH 1113-001,room,Corley 104,Corley 268
MATH 0903-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 1113-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 0903-TC1,instructor,Staff,"Winn, Janet L."
MATH 1113-TC1,instructor,Staff,"Winn, Janet L."
MATH 0803-004,instructor,Staff 2,Staff
MATH 0803-004,time,MWF 11:00am,MWF 9:00am
MATH 1003-004,instructor,Staff 2,Staff
MATH 1003-005,room,Corley 104,Corley 268
MATH 1113-006,time,TR 9:30am,TR 2:30pm
MATH 1113-006,room,Corley 104,Corley 102
MATH 1113-TC2,instructor,"Ballard, Kasey L.","Cox, Allie M."
MATH 2243-002,instructor,"Overduin, Matthew D.","Ballard, Kasey L."
MATH 2243-002,time,TR 9:30am,TR 1:00pm
MATH 2703-002,instructor,"Limperis, Thomas G.","Jordan, Susan M."
MATH 2703-002,time,TR 11:00am,TR 8:00am
MATH 2703-002,room,Rothwell 206,Corley 101
MATH 2703-TC1,instructor,"Jordan, Susan M.","Overduin, Matthew D."
MATH 1003-007,instructor,Staff,"Jordan, Susan M."
MATH 1003-007,time,MWF 1:00pm,MWF 11:00am
MATH 1003-007,room,,Corley 101
